Station_num,Station_name,Lon,Lat,COUNTYNAME,
466850,五分山雷達站,121.7812,25.0712,新北市,
466880,板橋,121.442,24.9976,新北市,
466900,淡水,121.4489,25.1649,新北市,
466910,鞍部,121.5297,25.1826,臺北市,
466920,臺北,121.5149,25.0377,臺北市,
466930,竹子湖,121.5445,25.1621,臺北市,
466940,基隆,121.7405,25.1333,基隆市,
466950,彭佳嶼,122.0797,25.628,基隆市,
466990,花蓮,121.6133,23.9751,花蓮縣,
467050,新屋,121.0475,25.0067,桃園市,
467060,蘇澳,121.8574,24.5967,宜蘭縣,
467080,宜蘭,121.7565,24.764,宜蘭縣,
467110,金門,118.2893,24.4073,金門縣,
467300,東吉島,119.6675,23.257,澎湖縣,
467350,澎湖,119.5631,23.5655,澎湖縣,
467410,臺南,120.2048,22.9932,臺南市,
467420,永康,120.2367,23.0384,臺南市,
467440,高雄,120.3157,22.566,高雄市,
467480,嘉義,120.4329,23.4959,嘉義市,
467490,臺中,120.6841,24.1457,臺中市,
467530,阿里山,120.8132,23.5082,嘉義縣,
467540,大武,120.9038,22.3557,臺東縣,
467550,玉山,120.9595,23.4876,南投縣,
467571,新竹,121.0142,24.8279,新竹縣,
467590,恆春,120.7463,22.0039,屏東縣,
467610,成功,121.3734,23.0975,臺東縣,
467620,蘭嶼,121.5583,22.037,臺東縣,
467650,日月潭,120.9081,23.8813,南投縣,
467660,臺東,121.1546,22.7522,臺東縣,
467770,梧棲,120.5234,24.256,臺中市,
467790,墾丁雷達站,120.808,21.9482,屏東縣,
467990,馬祖,119.9234,26.1693,連江縣,
C0A520,山佳,121.402,24.9749,新北市,
C0A530,坪林,121.7094,24.9382,新北市,
C0A540,四堵,121.7459,24.8928,新北市,
C0A550,泰平,121.8237,24.9712,新北市,
C0A560,福山,121.5028,24.7762,新北市,
C0A570,桶後,121.598,24.8482,新北市,
C0A640,石碇,121.6629,24.9939,新北市,
C0A650,火燒寮,121.7429,25.0027,新北市,
C0A660,瑞芳,121.8011,25.1132,新北市,
C0A860,大坪,121.633,25.1659,新北市,
C0A870,五指山,121.6087,25.1322,新北市,
C0A880,福隆,121.9421,25.0178,新北市,
C0A890,雙溪,121.8642,25.036,新北市,
C0A920,富貴角,121.5653,25.2638,新北市,
C0A931,三和,121.5952,25.2332,新北市,
C0A940,金山,121.644,25.2236,新北市,
C0A950,鼻頭角,121.9234,25.129,新北市,
C0A970,三貂角,122.0021,25.0076,新北市,
C0A980,社子,121.4697,25.1095,臺北市,
C0A9A0,大直,121.5429,25.078,臺北市,
C0A9C0,天母,121.5372,25.1175,臺北市,
C0A9E0,士林,121.503,25.0903,臺北市,
C0A9F0,內湖,121.5755,25.0794,臺北市,
C0AC40,大屯山,121.5224,25.1757,臺北市,
C0AC60,三峽,121.3697,24.939,新北市,
C0AC70,信義,121.5646,25.0378,臺北市,
C0AC80,文山,121.5757,25.0024,臺北市,
C0ACA0,新莊,121.4468,25.0515,新北市,
C0AD00,三芝,121.5019,25.2581,新北市,
C0AD10,八里,121.4039,25.1502,新北市,
C0AD30,蘆洲,121.4723,25.0866,新北市,
C0AD40,土城,121.4452,24.9732,新北市,
C0AD50,鶯歌,121.3463,24.9515,新北市,
C0AG90,中和,121.4904,24.9926,新北市,
C0AH00,汐止,121.6588,25.0669,新北市,
C0AH10,永和,121.5081,25.0113,新北市,
C0AH30,五分山,121.7808,25.0713,新北市,
C0AH40,平等,121.5771,25.1291,臺北市,
C0AH50,林口,121.3808,25.0722,新北市,
C0AH70,松山,121.5504,25.0487,臺北市,
C0AH80,深坑,121.6283,25.0027,新北市,
C0AH90,福山植物園,121.5814,24.7607,新北市,
C0AI00,五股,121.4273,25.0745,新北市,
C0AI10,屈尺,121.5448,24.9218,新北市,
C0AI20,白沙灣,121.5191,25.2831,新北市,
C0AI30,三重,121.5006,25.0573,新北市,
C0AI40,石牌,121.5132,25.1156,臺北市,
C0B010,七堵,121.7171,25.0948,基隆市,
C0B020,基隆嶼,121.7839,25.1914,基隆市,
C0C460,復興,121.3523,24.8202,桃園市,
C0C480,桃園,121.3232,24.9924,桃園市,
C0C490,八德,121.2833,24.9287,桃園市,
C0C540,大園,121.226,25.0478,桃園市,
C0C590,觀音,121.1533,25.0271,桃園市,
C0C620,蘆竹,121.2658,25.0843,桃園市,
C0C630,大溪,121.2655,24.8829,桃園市,
C0C650,平鎮,121.2146,24.8975,桃園市,
C0C660,楊梅,121.143,24.9124,桃園市,
C0C670,龍潭,121.2214,24.8701,桃園市,
C0C680,龜山,121.3866,25.0285,桃園市,
C0C700,中壢,121.2564,24.9777,桃園市,
C0C710,大溪永福,121.325,24.8929,桃園市,
C0D360,梅花,121.2086,24.6783,新竹縣,
C0D390,關西,121.1739,24.7982,新竹縣,
C0D430,峨眉,121.0172,24.6905,新竹縣,
C0D480,打鐵坑,121.1508,24.8497,新竹縣,
C0D540,橫山,121.1169,24.7112,新竹縣,
C0D550,雪霸,121.1161,24.527,新竹縣,
C0D560,竹東,121.0579,24.7671,新竹縣,
C0D570,香山,120.9055,24.7469,新竹市,
C0D580,寶山,121.0252,24.735,新竹縣,
C0D590,新豐,120.9772,24.8707,新竹縣,
C0D650,湖口,121.0436,24.9048,新竹縣,
C0D660,新竹市東區,120.9869,24.7987,新竹市,
C0E420,竹南,120.8889,24.709,苗栗縣,
C0E430,南庄,121.0002,24.6018,苗栗縣,
C0E520,大湖,120.8709,24.4149,苗栗縣,
C0E540,後龍,120.7839,24.6065,苗栗縣,
C0E550,明德,120.8854,24.5835,苗栗縣,
C0E590,通霄,120.7046,24.4719,苗栗縣,
C0E610,馬都安,120.9302,24.4513,苗栗縣,
C0E730,頭份,120.9122,24.6882,苗栗縣,
C0E740,造橋,120.8648,24.6371,苗栗縣,
C0E750,苗栗,120.8246,24.5646,苗栗縣,
C0E780,銅鑼,120.7909,24.4897,苗栗縣,
C0E790,卓蘭,120.8248,24.3128,苗栗縣,
C0E810,西湖,120.7485,24.5629,苗栗縣,
C0E820,獅潭,120.92,24.5391,苗栗縣,
C0E830,苑裡,120.6531,24.4397,苗栗縣,
C0E850,大河,120.9486,24.6181,苗栗縣,
C0E870,高鐵苗栗,120.8261,24.6073,苗栗縣,
C0E880,三義,120.7521,24.4078,苗栗縣,
C0F000,大肚,120.5721,24.153,臺中市,
C0F0A0,雪山圈谷,121.2363,24.3886,臺中市,
C0F0B0,石岡,120.7776,24.2761,臺中市,
C0F0C0,中坑,120.9033,24.2485,臺中市,
C0F0D0,審馬陣,121.4203,24.3817,臺中市,
C0F0E0,南湖圈谷,121.4447,24.3637,臺中市,
C0F850,東勢,120.833,24.2464,臺中市,
C0F861,梨山,121.2437,24.2475,臺中市,
C0F930,大甲,120.6404,24.3477,臺中市,
C0F970,大坑,120.7223,24.1731,臺中市,
C0F9A0,中竹林,120.7511,24.1036,臺中市,
C0F9I0,神岡,120.6583,24.2725,臺中市,
C0F9K0,大安,120.588,24.3451,臺中市,
C0F9L0,后里,120.7297,24.3104,臺中市,
C0F9M0,豐原,120.7207,24.2543,臺中市,
C0F9N0,大里,120.7014,24.0925,臺中市,
C0F9O0,潭子,120.7039,24.2131,臺中市,
C0F9P0,清水,120.5622,24.3123,臺中市,
C0F9Q0,外埔,120.7057,24.3478,臺中市,
C0F9R0,龍井,120.529,24.1845,臺中市,
C0F9S0,烏日,120.6241,24.1071,臺中市,
C0F9T0,西屯,120.6413,24.1795,臺中市,
C0F9U0,南屯,120.638,24.137,臺中市,
C0F9V0,新社,120.8158,24.2002,臺中市,
C0F9X0,大雅(中科園區),120.6245,24.2153,臺中市,
C0F9Y0,桃山,121.3038,24.4327,臺中市,
C0F9Z0,雪山東峰,121.2687,24.3888,臺中市,
C0G620,芬園,120.6213,24.0157,彰化縣,
C0G640,鹿港,120.4305,24.0753,彰化縣,
C0G650,員林,120.5856,23.9465,彰化縣,
C0G660,溪湖,120.4791,23.9484,彰化縣,
C0G720,溪州,120.4991,23.8516,彰化縣,
C0G730,二林,120.3761,23.9033,彰化縣,
C0G740,大城,120.3209,23.8525,彰化縣,
C0G750,竹塘,120.3825,23.8466,彰化縣,
C0G760,高鐵彰化,120.5746,23.8752,彰化縣,
C0G770,福興,120.4377,24.0413,彰化縣,
C0G780,秀水,120.5039,24.0341,彰化縣,
C0G800,埔鹽,120.4317,24.0004,彰化縣,
C0G810,埔心,120.5255,23.9476,彰化縣,
C0G820,田尾,120.5094,23.9017,彰化縣,
C0G830,埤頭,120.4528,23.866,彰化縣,
C0G840,北斗,120.5142,23.8776,彰化縣,
C0G860,社頭,120.5862,23.8976,彰化縣,
C0G870,芳苑,120.32,23.9223,彰化縣,
C0G880,二水,120.6173,23.8107,彰化縣,
C0G890,伸港,120.4844,24.1489,彰化縣,
C0G900,線西,120.4435,24.1434,彰化縣,
C0G910,花壇,120.5495,24.0321,彰化縣,
C0H890,埔里,120.9524,23.9722,南投縣,
C0H950,中寮,120.7664,23.8844,南投縣,
C0H960,草屯,120.6809,23.9737,南投縣,
C0H990,昆陽,121.2736,24.1213,南投縣,
C0H9A0,神木村,120.8437,23.5327,南投縣,
C0H9C0,合歡山,121.2725,24.1434,南投縣,
C0I010,廬山,121.1818,24.0333,南投縣,
C0I080,信義,120.851,23.6897,南投縣,
C0I090,鳳凰,120.7873,23.7281,南投縣,
C0I110,竹山,120.6882,23.7612,南投縣,
C0I360,水里,120.8498,23.8126,南投縣,
C0I370,魚池,120.9414,23.8957,南投縣,
C0I380,集集,120.8015,23.8282,南投縣,
C0I390,仁愛,121.1322,24.0221,南投縣,
C0I410,名間,120.7014,23.8371,南投縣,
C0I420,國姓,120.8551,24.0378,南投縣,
C0I460,南投,120.6873,23.9115,南投縣,
C0I480,梅峰,121.1736,24.0853,南投縣,
C0I490,萬大林道,121.0914,23.9282,南投縣,
C0I520,玉山風口,120.956,23.4705,南投縣,
C0I530,小奇萊,121.2957,24.1318,南投縣,
C0I540,奇萊稜線,121.3265,24.1092,南投縣,
C0K240,草嶺,120.6935,23.5956,雲林縣,
C0K250,崙背,120.3189,23.7556,雲林縣,
C0K280,四湖,120.2271,23.6304,雲林縣,
C0K291,宜梧,120.1693,23.5363,雲林縣,
C0K330,虎尾,120.442,23.7192,雲林縣,
C0K390,土庫,120.3956,23.679,雲林縣,
C0K400,斗六,120.5411,23.7206,雲林縣,
C0K410,北港,120.2928,23.574,雲林縣,
C0K420,西螺,120.4674,23.8004,雲林縣,
C0K430,褒忠,120.3036,23.6909,雲林縣,
C0K440,二崙,120.4089,23.7728,雲林縣,
C0K450,大埤,120.4315,23.6461,雲林縣,
C0K460,斗南,120.4784,23.6787,雲林縣,
C0K470,林內,120.6096,23.7487,雲林縣,
C0K480,莿桐,120.5024,23.7612,雲林縣,
C0K490,古坑,120.5598,23.6543,雲林縣,
C0K500,元長,120.315,23.6498,雲林縣,
C0K510,水林,120.246,23.5729,雲林縣,
C0K520,雲林東勢,120.1548,23.6744,雲林縣,
C0K530,臺西,120.1976,23.7015,雲林縣,
C0K550,蔦松,120.2297,23.5143,雲林縣,
C0K560,棋山,120.6034,23.6865,雲林縣,
C0K580,高鐵雲林,120.4179,23.7375,雲林縣,
C0M410,馬頭山,120.582,23.3244,嘉義縣,
C0M520,東後寮,120.2481,23.3699,嘉義縣,
C0M530,奮起湖,120.6993,23.4939,嘉義縣,
C0M640,中埔,120.5229,23.4254,嘉義縣,
C0M650,朴子,120.239,23.4346,嘉義縣,
C0M660,溪口,120.4036,23.6041,嘉義縣,
C0M670,大林,120.4584,23.6006,嘉義縣,
C0M680,太保,120.3315,23.4551,嘉義縣,
C0M690,水上,120.3889,23.4197,嘉義縣,
C0M700,竹崎,120.5555,23.5262,嘉義縣,
C0M710,東石,120.1539,23.4589,嘉義縣,
C0M720,番路,120.5542,23.4647,嘉義縣,
C0M730,嘉義市東區,120.4605,23.4577,嘉義市,
C0M740,六腳,120.2906,23.4929,嘉義縣,
C0M750,布袋,120.1678,23.3809,嘉義縣,
C0M760,民雄,120.4285,23.5518,嘉義縣,
C0M770,嘉義梅山,120.5556,23.5854,嘉義縣,
C0M780,鹿草,120.3084,23.4113,嘉義縣,
C0M790,新港,120.3457,23.5533,嘉義縣,
C0M800,茶山,120.6648,23.2991,嘉義縣,
C0M810,里佳,120.7166,23.3891,嘉義縣,
C0M820,達邦,120.7495,23.454,嘉義縣,
C0M850,表湖,120.6417,23.2419,嘉義縣,
C0M860,新美,120.6832,23.338,嘉義縣,
C0O810,曾文,120.4973,23.2197,臺南市,
C0O830,北寮,120.495,23.0796,臺南市,
C0O840,王爺宮,120.4009,23.2221,臺南市,
C0O860,大內,120.3608,23.1189,臺南市,
C0O900,善化,120.2972,23.1129,臺南市,
C0O930,玉井,120.4606,23.126,臺南市,
C0O950,安南,120.1449,23.0767,臺南市,
C0O960,崎頂,120.3693,22.9595,臺南市,
C0O970,虎頭埤,120.3479,23.0214,臺南市,
C0O980,新市,120.2982,23.0616,臺南市,
C0O990,媽廟,120.2935,22.9918,臺南市,
C0R100,尾寮山,120.6839,22.8331,屏東縣,
C0R130,阿禮,120.7437,22.7429,屏東縣,
C0R140,瑪家,120.6866,22.6829,屏東縣,
C0R150,三地門,120.6399,22.7099,屏東縣,
C0R160,鹽埔新圍,120.5308,22.7396,屏東縣,
C0R170,屏東,120.4941,22.6603,屏東縣,
C0R190,赤山,120.6143,22.5923,屏東縣,
C0R220,潮州,120.54,22.5344,屏東縣,
C0R240,來義,120.6251,22.5273,屏東縣,
C0R260,春日,120.6283,22.3704,屏東縣,
C0R270,琉球嶼,120.3622,22.3322,屏東縣,
C0R280,檳榔,120.8368,22.0761,屏東縣,
C0R320,車城,120.7161,22.074,屏東縣,
C0R341,牡丹,120.7926,22.13,屏東縣,
C0R350,貓鼻頭,120.7358,21.9218,屏東縣,
C0R440,大漢山,120.7532,22.4053,屏東縣,
C0R470,高樹,120.6008,22.8264,屏東縣,
C0R480,長治,120.5426,22.6931,屏東縣,
C0R490,九如,120.4905,22.7405,屏東縣,
C0R510,萬丹,120.4904,22.5878,屏東縣,
C0R520,崁頂,120.5069,22.5148,屏東縣,
C0R530,林邊,120.51,22.4308,屏東縣,
C0R540,佳冬,120.5524,22.4195,屏東縣,
C0R550,新埤,120.5829,22.4679,屏東縣,
C0R560,新園,120.4616,22.5434,屏東縣,
C0R570,麟洛,120.5272,22.6508,屏東縣,
C0R580,南州,120.5027,22.4859,屏東縣,
C0R590,里港,120.4946,22.7792,屏東縣,
C0R600,舊泰武,120.6649,22.5882,屏東縣,
C0R620,墾雷,120.8553,21.9008,屏東縣,
C0R640,東港,120.4407,22.4625,屏東縣,
C0R650,竹田,120.5434,22.5849,屏東縣,
C0R660,枋寮,120.5906,22.3677,屏東縣,
C0R670,楓港,120.6922,22.1901,屏東縣,
C0R680,佳樂水,120.8616,21.9936,屏東縣,
C0R690,墾丁,120.8103,21.9668,屏東縣,
C0R700,枋山,120.6611,22.2468,屏東縣,
C0R710,龍磐,120.8389,21.9317,屏東縣,
C0R720,旭海,120.8876,22.2054,屏東縣,
C0R730,大坪頂,120.6936,22.0246,屏東縣,
C0R740,獅子,120.7053,22.2016,屏東縣,
C0R750,四林格山,120.7944,22.0788,屏東縣,
C0R760,南仁湖,120.8634,22.0847,屏東縣,
C0R770,保力,120.7641,22.0711,屏東縣,
C0R780,滿州,120.8399,22.0244,屏東縣,
C0R790,九棚,120.8893,22.142,屏東縣,
C0R800,丹路,120.751,22.2045,屏東縣,
C0R810,內獅,120.643,22.3051,屏東縣,
C0R820,白鷺,120.6662,22.4543,屏東縣,
C0R830,高士,120.8368,22.1218,屏東縣,
C0R840,牡丹池山,120.8412,22.1684,屏東縣,
